* Initial: 
     (-)pre1-post2 = 0.0
     (-)pre1-post3 = 0.0
     (-)pre1-post4 = 0.0
     (-)pre1-post5 = 0.0
     (-)pre1-post6 = 0.0
     (-)pre1-post7 = 0.0
     (-)pre2-post0 = 2.8011034003519106e-06
     (-)pre2-post1 = 2.7522399712260497e-06
     (+)pre2-post2 = 0.20773759155295046
     (+)pre2-post3 = 0.2070205026723297
     (-)pre2-post4 = 2.0495353111480406e-21
     (-)pre2-post5 = 2.059631670895201e-21
     (+)pre2-post6 = 0.1544849059548517
     (+)pre2-post7 = 0.2068583593558016
     (+)pre3-post0 = 0.2084601641898893
     (+)pre3-post1 = 0.25891264136226594
     (+)pre3-post2 = 0.2088446688690691
     (-)pre3-post3 = 2.509665035888108e-06
     (-)pre3-post4 = 2.497698717063534e-06
     (-)pre3-post5 = 2.510002803126687e-06
     (-)pre3-post6 = 2.3766358635918156e-06
     (-)pre3-post7 = 0.0
     (-)pre4-post0 = 0.0
     (-)pre4-post1 = 0.0
     (-)pre4-post2 = 0.0
     (-)pre4-post3 = 0.0
     (-)pre4-post4 = 0.0
     (-)pre4-post5 = 0.0
     (-)pre4-post6 = 0.0
     (-)pre4-post7 = 0.0
     (-)pre5-post0 = 0.0
     (-)pre5-post1 = 0.0
     (-)pre5-post2 = 0.0
     (-)pre5-post3 = 0.0
     (-)pre5-post4 = 0.0
     (-)pre5-post5 = 0.0
     (-)pre5-post6 = 0.0
     (-)pre5-post7 = 0.0
     (-)pre6-post0 = 0.0
     (-)pre6-post1 = 0.0
     (-)pre6-post2 = 0.0
     (+)pre6-post3 = 0.10604473343174543
     (+)pre6-post4 = 0.10553557412291698
     (+)pre6-post5 = 0.10606492413736493
     (+)pre6-post6 = 0.15824331814224066
     (-)pre6-post7 = 0.0
* Iter 1
     (-)pre0-post0 = 0.0
     (-)pre0-post1 = 0.0
     (-)pre0-post2 = 0.0
     (-)pre0-post3 = 0.0
     (-)pre0-post4 = 0.0
     (-)pre0-post5 = 0.0
     (-)pre0-post6 = 0.0
     (-)pre0-post7 = 0.0
     (-)pre1-post0 = 0.0
     (-)pre1-post1 = 0.0
     (-)pre1-post2 = 0.0
     (-)pre1-post3 = 0.0
     (-)pre1-post4 = 0.0
     (-)pre1-post5 = 0.0
     (-)pre1-post6 = 0.0
     (-)pre1-post7 = 0.0
     (-)pre2-post0 = 2.8011034003519106e-06
     (-)pre2-post1 = 2.7522399712260497e-06
     (+)pre2-post2 = 0.20773759155295046
     (+)pre2-post3 = 0.2070205026723297
     (-)pre2-post4 = 2.0495541328404744e-21
     (-)pre2-post5 = 2.059650643364708e-21
     (+)pre2-post6 = 0.1544849059548517
     (+)pre2-post7 = 0.2068583593558016
     (+)pre3-post0 = 0.2084601641898893
     (+)pre3-post1 = 0.25891264136226594
     (+)pre3-post2 = 0.2088446688690691
     (-)pre3-post3 = 2.5096882182526645e-06
     (-)pre3-post4 = 2.4977216544086085e-06
     (-)pre3-post5 = 2.5100259242184893e-06
     (-)pre3-post6 = 2.3766536747739543e-06
     (-)pre3-post7 = 0.0
     (-)pre4-post0 = 0.0
     (-)pre4-post1 = 0.0
     (-)pre4-post2 = 0.0
     (-)pre4-post3 = 0.0
     (-)pre4-post4 = 0.0
     (-)pre4-post5 = 0.0
     (-)pre4-post6 = 0.0
     (-)pre4-post7 = 0.0
     (-)pre5-post0 = 0.0
     (-)pre5-post1 = 0.0
     (-)pre5-post2 = 0.0
     (-)pre5-post3 = 0.0
     (-)pre5-post4 = 0.0
     (-)pre5-post5 = 0.0
     (-)pre5-post6 = 0.0
     (-)pre5-post7 = 0.0
     (-)pre6-post0 = 0.0
     (-)pre6-post1 = 0.0
     (-)pre6-post2 = 0.0
     (+)pre6-post3 = 0.26031221547125666
     (+)pre6-post4 = 0.2580297357859724
     (+)pre6-post5 = 0.25955174089102195
     (+)pre6-post6 = 0.20598516966448444
     (-)pre6-post7 = 0.0
* Iter 2
     (-)pre0-post0 = 0.0
     (-)pre0-post1 = 0.0
     (-)pre0-post2 = 0.0
     (-)pre0-post3 = 0.0
     (-)pre0-post4 = 0.0
     (-)pre0-post5 = 0.0
     (-)pre0-post6 = 0.0
     (-)pre0-post7 = 0.0
     (-)pre1-post0 = 0.0
     (-)pre1-post1 = 0.0
     (-)pre1-post2 = 0.0
     (-)pre1-post3 = 0.0
     (-)pre1-post4 = 0.0
     (-)pre1-post5 = 0.0
     (-)pre1-post6 = 0.0
     (-)pre1-post7 = 0.0
     (-)pre2-post0 = 2.8011034003519106e-06
     (-)pre2-post1 = 2.7522399712260497e-06
     (+)pre2-post2 = 0.20773759155295046
     (+)pre2-post3 = 0.2070205026723297
     (-)pre2-post4 = 2.049554133102417e-21
     (-)pre2-post5 = 2.0596506436287678e-21
     (+)pre2-post6 = 0.1544849059548517
     (+)pre2-post7 = 0.2068583593558016
     (+)pre3-post0 = 0.2084601641898893
     (+)pre3-post1 = 0.25891264136226594
     (+)pre3-post2 = 0.2088446688690691
     (-)pre3-post3 = 2.509688218575306e-06
     (-)pre3-post4 = 2.4977216547278285e-06
     (-)pre3-post5 = 2.51002592454029e-06
     (-)pre3-post6 = 2.3766536750921883e-06
     (-)pre3-post7 = 0.0
     (-)pre4-post0 = 0.0
     (-)pre4-post1 = 0.0
